"Source:","C:\Users\Simao\Documents\Audio Projects\Kicad projects\FINAL VERSIONS\Audionote Kit four v2\Audionote Kit four v2.kicad_sch"
"Date:","1/31/2022 3:18:35 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","560pf","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C2","33uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C3","4700uf/16V","Device:C_Polarized","Capacitor_THT:C_Radial_D16.0mm_H31.5mm_P7.50mm","~"
"","","C4","820pf","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C5","0.1uf","Device:C","Capacitor_THT:C_Rect_L26.5mm_W6.0mm_P22.50mm_MKS4","~"
"","","C6","0.47uf","Device:C","Capacitor_THT:C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4","~"
"","","C7","0.1uf","Device:C","Capacitor_THT:C_Rect_L26.5mm_W6.0mm_P22.50mm_MKS4","~"
"","","C8","33uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C9","100uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C10","100uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C11","0.47uf","Device:C","Capacitor_THT:C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4","~"
"","","C12","0.47uf","Device:C","Capacitor_THT:C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4","~"
"","","C13","33uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C14","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","~"
"","","C15","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C16","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C17","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","~"
"","","C18","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn","~"
"","","C19","560pf","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C21","820pf","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C22","0.1uf","Device:C","Capacitor_THT:C_Rect_L26.5mm_W6.0mm_P22.50mm_MKS4","~"
"","","C23","0.47uf","Device:C","Capacitor_THT:C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4","~"
"","","C24","0.1uf","Device:C","Capacitor_THT:C_Rect_L26.5mm_W6.0mm_P22.50mm_MKS4","~"
"","","C26","100uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C27","100uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~"
"","","C28","0.47uf","Device:C","Capacitor_THT:C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4","~"
"","","C29","0.47uf","Device:C","Capacitor_THT:C_Rect_L31.5mm_W9.0mm_P27.50mm_MKS4","~"
"","","C31","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C32","220uf","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","D1","Bridge","Device:D_Bridge_+-AA","Diode_THT:Diode_Bridge_19.0x3.5x10.0mm_P5.0mm","~"
"","","D2","Bridge","Device:D_Bridge_+-AA","Diode_THT:Diode_Bridge_19.0x3.5x10.0mm_P5.0mm","~"
"","","J1","In_Left","Connector:Conn_Coaxial","Connector_Wire:SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm"," ~"
"","","J2","12.6Vac","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J3","0Vac","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J4","235Vac","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J5","0Vac","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J6","In_Right","Connector:Conn_Coaxial","Connector_Wire:SolderWire-0.75sqmm_1x02_P7mm_D1.25mm_OD3.5mm"," ~"
"","","J7","0Vac ","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J8","6.3Vac ","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J9","TX1a","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J10","TX1b","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J11","TX2a","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J12","TX2b","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
"","","J13","TX2c","Connector_Generic:Conn_01x01","Connector_Wire:SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm","~"
